ContentID,ParentContentID,AssociateType,AssociateID,FileName,PageTitle,AdditionalPageTitle,MetaKeywords,MetaDescription,Template,CreatedDate,CreatedByUserID,PublishedDate,LastUpdated,UpdatedByUserID,Protected,Rank,ProductRank,Enabled,Featured,RedirectContentID,Views,MapID,GalleryID,NotificationType,paraent_catagory_content_id
188,0,Category,150,/search-by-stone-type/,"Search By Stone Type",,,,category.aspx,7/11/2012,1,7/11/2012,10/22/2020,2,0,1,0,1,1,0,29103,0,0,0,
190,188,Category,151,/search-by-stone-type/agate/,Agate,,,,category.aspx,7/11/2012,1,7/11/2012,9/21/2021,2,0,1,0,1,0,0,12537,0,0,0,188
191,188,Category,152,/search-by-stone-type/amethyst/,Amethyst,,,,category.aspx,7/11/2012,1,7/11/2012,7/11/2012,2,0,1,0,1,0,0,12481,0,0,0,188
192,188,Category,153,/search-by-stone-type/aventurine/,Aventurine,,,,category.aspx,7/11/2012,1,7/11/2012,7/11/2012,2,0,1,0,1,0,0,11300,0,0,0,188
193,188,Category,154,/search-by-stone-type/calcite/,Calcite,,,,category.aspx,7/11/2012,1,7/11/2012,7/11/2012,2,0,1,0,1,0,0,11159,0,0,0,188
194,188,Category,155,/search-by-stone-type/carnelian/,Carnelian,,,,category.aspx,7/11/2012,1,7/11/2012,7/11/2012,2,0,1,0,1,0,0,11566,0,0,0,188
195,188,Category,156,/search-by-stone-type/fluorite/,Fluorite,,,,category.aspx,7/11/2012,1,7/11/2012,7/11/2012,2,0,1,0,1,0,0,10699,0,0,0,188
197,188,Category,157,/search-by-stone-type/goldstone/,Goldstone,,,,category.aspx,7/11/2012,1,7/11/2012,7/11/2012,2,0,1,0,1,0,0,12170,0,0,0,188
198,188,Category,158,/search-by-stone-type/hematite/,Hematite,,,,category.aspx,7/11/2012,1,7/11/2012,7/11/2012,2,0,1,0,1,0,0,11735,0,0,0,188
199,188,Category,159,/search-by-stone-type/howlite/,Howlite,,,,category.aspx,7/11/2012,1,7/11/2012,7/11/2012,2,0,1,0,1,0,0,11985,0,0,0,188
200,188,Category,160,/search-by-stone-type/jade/,Jade,,,,category.aspx,7/11/2012,1,7/11/2012,7/11/2012,2,0,1,0,1,0,0,11282,0,0,0,188
201,188,Category,161,/search-by-stone-type/jasper/,Jasper,,,,category.aspx,7/11/2012,1,7/11/2012,7/11/2012,2,0,1,0,1,0,0,11943,0,0,0,188
202,188,Category,162,/search-by-stone-type/obsidian/,Obsidian,,,,category.aspx,7/11/2012,1,7/11/2012,7/11/2012,2,0,1,0,1,0,0,11169,0,0,0,188
203,188,Category,163,/search-by-stone-type/quartz/,Quartz,,,,category.aspx,7/11/2012,1,7/11/2012,7/11/2012,2,0,1,0,1,0,0,12902,0,0,0,188
204,188,Category,164,/search-by-stone-type/rose-quartz/,"Rose Quartz",,,,category.aspx,7/11/2012,1,7/11/2012,7/11/2012,2,0,1,0,1,0,0,12787,0,0,0,188
205,188,Category,165,/search-by-stone-type/tigers-eye/,"Tigers Eye",,,,category.aspx,7/11/2012,1,7/11/2012,7/11/2012,2,0,1,0,1,0,0,12240,0,0,0,188
213,65,Category,173,/skin-complaints/eczema-products/,"Eczema Products",,,,category.aspx,7/11/2012,1,7/11/2012,7/11/2012,1,0,1,0,1,0,0,14083,0,0,0,65
215,65,Category,175,/skin-complaints/psoriasis-products/,"Psoriasis Products",,,,category.aspx,7/11/2012,1,7/11/2012,7/11/2012,1,0,3,0,1,0,0,15097,0,0,0,65
234,0,Category,194,/mobiles-sun-catchers-wind-chimes/,"Mobiles, Sun Catchers & Wind Chimes","| A Range of Outdoor and Indoor Decorative Hanging Items and Gifts","Wind Chimes, Sun Catchers, Garden Gifts, Housewarming","A range of hanging wind chimes, sun catchers and mobiles suitable for indoor or outdoor use and all making great gift ides.",category.aspx,7/11/2012,1,7/11/2012,9/16/2022,2,0,1,0,1,1,0,96751,0,0,0,
3817,0,Category,201,/novelty-gift-labels/,"Novelty Gift Labels",,,,category.aspx,10/22/2012,6,10/22/2012,1/7/2022,2,0,1,0,1,1,0,18351,0,0,0,
3996,0,Category,205,/fathers-day-gift-for-him/,"Fathers Day / Gift For Him","| A selection of Gifts Ideal For Dad on Fathers Day","Fathers Day, Dad, Gift Ideas","A wide range of our most popular gifts for Fathers Day",category.aspx,11/5/2012,6,11/5/2012,6/18/2023,2,0,1,0,1,1,0,19650,0,0,0,
4005,0,Category,206,/spheres/,Spheres,,,,category.aspx,11/7/2012,6,11/7/2012,1/26/2015,6,0,1,0,1,1,0,19808,0,0,0,
4913,0,Category,217,/incense-offer-any-10-for-1000/,"Incense Offer- Any 10 for £10.00","| Buy Any Ten Incense Items for £10.00","Incense Sticks, Incense Cones, Offer","All incense items are any ten for £10.00. Just choose any 10 for a tenner. A great multi-buy offer.",category.aspx,2/17/2013,6,2/17/2013,9/16/2022,2,0,0,0,1,1,0,27885,0,0,0,
4991,0,Category,219,/woodstock-chimes/,"Woodstock Chimes",,,,category.aspx,3/10/2013,6,3/10/2013,10/19/2023,2,0,1,0,1,1,0,26076,0,0,0,
4992,0,Category,220,/meditation-relaxation/,"Meditation & Relaxation",,,,category.aspx,3/10/2013,6,3/10/2013,11/5/2020,2,0,1,0,1,1,0,25177,0,0,0,
5084,188,Category,221,/search-by-stone-type/bloodstone/,Bloodstone,,,,category.aspx,4/20/2013,6,4/20/2013,4/20/2013,2,0,1,0,1,0,0,9990,0,0,0,188
5085,188,Category,222,/search-by-stone-type/labradorite/,Labradorite,,,,category.aspx,4/20/2013,6,4/20/2013,4/20/2013,2,0,1,0,1,0,0,11041,0,0,0,188
5246,0,Category,224,/crystals/,Crystals,"| Hanging Crystals | Angels | Rainbows","Crystals, Guardian Angels, Feng Shui","Hanging crystals, ideal for feng shui, as gifts or just to make dancing rainbows in the sunlight",category.aspx,5/18/2013,6,5/18/2013,10/23/2020,2,0,1,0,1,1,0,33967,0,0,0,
5316,0,Category,227,/sale/,Sale,,,,category.aspx,7/13/2013,6,7/13/2013,12/27/2023,2,0,0,0,1,1,0,36422,0,0,0,
