"entity_id","attribute_set_id","type_id","sku","has_options","required_options","created_at","updated_at"
"37212","4","simple","1263-2389","0","0","2024-04-30 19:52:54","2024-05-02 17:06:04"
"37213","4","simple","1266-2395","0","0","2024-04-30 19:52:56","2024-05-02 17:06:06"
"37214","4","simple","1266-2396","0","0","2024-04-30 19:52:57","2024-05-02 17:06:07"
"37215","4","simple","1266-2394","0","0","2024-04-30 19:52:58","2024-05-02 17:06:09"
"37216","4","configurable","1267","0","0","2024-04-30 19:53:00","2024-05-02 20:47:31"
"37217","4","simple","1269-2400","0","0","2024-04-30 19:53:01","2024-05-02 17:06:12"
"37218","4","simple","1269-6551","0","0","2024-04-30 19:53:03","2024-05-02 17:06:14"
"37219","4","simple","1269-17154","0","0","2024-04-30 19:53:04","2024-05-02 17:06:16"
"37220","4","simple","1271-2403","0","0","2024-04-30 19:53:06","2024-05-02 17:06:17"
"37221","4","simple","1271-2405","0","0","2024-04-30 19:53:07","2024-05-02 17:06:19"
"37222","4","simple","1271-2406","0","0","2024-04-30 19:53:09","2024-05-02 17:06:21"
"37223","4","simple","1271-2404","0","0","2024-04-30 19:53:10","2024-05-02 17:06:22"
"37224","4","simple","1271-2407","0","0","2024-04-30 19:53:12","2024-05-02 17:06:24"
"37225","4","configurable","1272","0","0","2024-04-30 19:53:14","2024-05-02 20:47:35"
"37226","4","simple","1275-2411","0","0","2024-04-30 19:53:15","2024-05-02 17:06:28"
"37227","4","simple","1275-2413","0","0","2024-04-30 19:53:16","2024-05-02 17:06:29"
"37228","4","simple","1275-2414","0","0","2024-04-30 19:53:18","2024-05-02 17:06:31"
"37229","4","simple","1275-2412","0","0","2024-04-30 19:53:19","2024-05-02 17:06:33"
"37230","4","simple","1275-2415","0","0","2024-04-30 19:53:21","2024-05-02 17:06:34"
"37231","4","simple","1276-2417","0","0","2024-04-30 19:53:23","2024-05-02 17:06:36"
"37232","4","simple","1276-2418","0","0","2024-04-30 19:53:24","2024-05-02 17:06:37"
"37233","4","simple","1276-2416","0","0","2024-04-30 19:53:25","2024-05-02 17:06:39"
"37234","4","configurable","1278","0","0","2024-04-30 19:53:27","2024-05-02 20:47:39"
"37235","4","configurable","1279","0","0","2024-04-30 19:53:28","2024-05-02 20:47:40"
"37236","4","configurable","1280","0","0","2024-04-30 19:53:29","2024-05-02 20:47:41"
"37237","4","simple","1281-2424","0","0","2024-04-30 19:53:30","2024-05-02 17:06:46"
"37238","4","simple","1281-2425","0","0","2024-04-30 19:53:32","2024-05-02 17:06:47"
"37239","4","simple","1281-6009","0","0","2024-04-30 19:53:33","2024-05-02 17:06:49"
"37240","4","configurable","1282","0","0","2024-04-30 19:53:35","2024-05-02 20:47:43"
"37241","4","configurable","1283","0","0","2024-04-30 19:53:36","2024-05-02 20:47:44"
"37242","4","configurable","1285","0","0","2024-04-30 19:53:37","2024-05-02 20:47:44"
"37243","4","configurable","1287","0","0","2024-04-30 19:53:39","2024-05-02 20:47:45"
"37244","4","simple","1288-2437","0","0","2024-04-30 19:53:40","2024-05-02 17:06:58"
"37245","4","simple","1288-2438","0","0","2024-04-30 19:53:41","2024-05-02 17:07:00"
"37246","4","simple","1288-2436","0","0","2024-04-30 19:53:42","2024-05-02 17:07:01"
"37247","4","configurable","1289","0","0","2024-04-30 19:53:44","2024-05-02 20:47:48"
"37248","4","simple","1290-2441","0","0","2024-04-30 19:53:45","2024-05-02 17:07:05"
"37249","4","simple","1290-2443","0","0","2024-04-30 19:53:46","2024-05-02 17:07:07"
"37250","4","simple","1290-2444","0","0","2024-04-30 19:53:48","2024-05-02 17:07:08"
"37251","4","simple","1290-2442","0","0","2024-04-30 19:53:50","2024-05-02 17:07:10"
"37252","4","simple","1290-2445","0","0","2024-04-30 19:53:51","2024-05-02 17:07:12"
"37253","4","configurable","1291","0","0","2024-04-30 19:53:53","2024-05-02 20:47:50"
"37254","4","configurable","1292","0","0","2024-04-30 19:53:54","2024-05-02 20:47:51"
"37255","4","simple","1293-2448","0","0","2024-04-30 19:53:55","2024-05-02 17:07:17"
"37256","4","simple","1293-2449","0","0","2024-04-30 19:53:57","2024-05-02 17:07:18"
"37257","4","configurable","1294","0","0","2024-04-30 19:53:58","2024-05-02 20:47:53"
"37258","4","configurable","1295","0","0","2024-04-30 19:53:59","2024-05-02 20:47:54"
"37259","4","configurable","1296","0","0","2024-04-30 19:54:01","2024-05-02 20:47:54"
"37260","4","simple","1297-2454","0","0","2024-04-30 19:54:02","2024-05-02 17:07:26"
"37261","4","simple","1297-2455","0","0","2024-04-30 19:54:03","2024-05-02 17:07:28"
"37262","4","simple","1297-2453","0","0","2024-04-30 19:54:05","2024-05-02 17:07:29"
"37263","4","simple","1298-2459","0","0","2024-04-30 19:54:06","2024-05-02 17:07:31"
"37264","4","simple","1298-2457","0","0","2024-04-30 19:54:08","2024-05-02 17:07:32"
"37265","4","simple","1298-2458","0","0","2024-04-30 19:54:09","2024-05-02 17:07:34"
"37266","4","simple","1299-2461","0","0","2024-04-30 19:54:11","2024-05-02 17:07:35"
"37267","4","simple","1299-2462","0","0","2024-04-30 19:54:12","2024-05-02 17:07:37"
"37268","4","simple","1299-2460","0","0","2024-04-30 19:54:14","2024-05-02 17:07:38"
"37269","4","simple","1300-2465","0","0","2024-04-30 19:54:15","2024-05-02 17:07:40"
"37270","4","configurable","1301","0","0","2024-04-30 19:54:17","2024-05-02 20:48:01"
"37271","4","configurable","1302","0","0","2024-04-30 19:54:18","2024-05-02 20:48:03"
"37272","4","configurable","1304","0","0","2024-04-30 19:54:19","2024-05-02 20:48:03"
"37273","4","configurable","1305","0","0","2024-04-30 19:54:20","2024-05-02 20:48:04"
"37274","4","configurable","1306","0","0","2024-04-30 19:54:22","2024-05-02 20:48:05"
"37275","4","configurable","1307","0","0","2024-04-30 19:54:23","2024-05-02 20:48:06"
"37276","4","configurable","1309","0","0","2024-04-30 19:54:24","2024-05-02 20:48:06"
"37277","4","configurable","1310","0","0","2024-04-30 19:54:25","2024-05-02 20:48:07"
"37278","4","simple","1312-2482","0","0","2024-04-30 19:54:27","2024-05-02 17:07:57"
"37279","4","simple","1312-2480","0","0","2024-04-30 19:54:28","2024-05-02 17:07:59"
"37280","4","simple","1312-2481","0","0","2024-04-30 19:54:29","2024-05-02 17:08:00"
"37281","4","simple","1313-12836","0","0","2024-04-30 19:54:31","2024-05-02 17:08:01"
"37282","4","simple","1313-2484","0","0","2024-04-30 19:54:32","2024-05-02 17:08:03"
"37283","4","simple","1313-2485","0","0","2024-04-30 19:54:34","2024-05-02 17:08:05"
"37284","4","simple","1315-2489","0","0","2024-04-30 19:54:35","2024-05-02 17:08:06"
"37285","4","simple","1315-2490","0","0","2024-04-30 19:54:36","2024-05-02 17:08:07"
"37286","4","simple","1315-9112","0","0","2024-04-30 19:54:38","2024-05-02 17:08:09"
"37287","4","configurable","1316","0","0","2024-04-30 19:54:39","2024-05-02 20:48:12"
"37288","4","configurable","1317","0","0","2024-04-30 19:54:41","2024-05-02 20:48:13"
"37289","4","configurable","1318","0","0","2024-04-30 19:54:42","2024-05-02 20:48:14"
"37290","4","configurable","1319","0","0","2024-04-30 19:54:43","2024-05-02 20:48:15"
"37291","4","simple","1320-2495","0","0","2024-04-30 19:54:44","2024-05-02 17:08:17"
"37292","4","simple","1320-2496","0","0","2024-04-30 19:54:45","2024-05-02 17:08:18"
"37293","4","simple","1320-2497","0","0","2024-04-30 19:54:47","2024-05-02 17:08:20"
"37294","4","simple","1321-2499","0","0","2024-04-30 19:54:48","2024-05-02 17:08:21"
"37295","4","simple","1321-2500","0","0","2024-04-30 19:54:50","2024-05-02 17:08:23"
"37296","4","simple","1321-10414","0","0","2024-04-30 19:54:51","2024-05-02 17:08:24"
"37297","4","configurable","1325","0","0","2024-04-30 19:54:53","2024-05-02 20:48:18"
"37298","4","simple","1326-2520","0","0","2024-04-30 19:54:53","2024-05-02 17:08:26"
"37299","4","simple","1326-2521","0","0","2024-04-30 19:54:54","2024-05-02 17:08:27"
"37300","4","simple","1326-2519","0","0","2024-04-30 19:54:56","2024-05-02 17:08:29"
"37301","4","configurable","1328","0","0","2024-04-30 19:54:57","2024-05-02 20:48:20"
"37302","4","configurable","1329","0","0","2024-04-30 19:54:58","2024-05-02 20:48:21"
"37303","4","simple","1330-2529","0","0","2024-04-30 19:54:59","2024-05-02 17:08:35"
"37304","4","simple","1330-2530","0","0","2024-04-30 19:55:01","2024-05-02 17:08:37"
"37305","4","simple","1330-2528","0","0","2024-04-30 19:55:03","2024-05-02 17:08:38"
"37306","4","simple","1331-2533","0","0","2024-04-30 19:55:04","2024-05-02 17:08:40"
"37307","4","simple","1331-2534","0","0","2024-04-30 19:55:06","2024-05-02 17:08:41"
"37308","4","simple","1331-2532","0","0","2024-04-30 19:55:07","2024-05-02 17:08:43"
"37309","4","configurable","1332","0","0","2024-04-30 19:55:09","2024-05-02 20:48:25"
"37310","4","simple","1333-2537","0","0","2024-04-30 19:55:10","2024-05-02 17:08:46"
"37311","4","simple","1333-2538","0","0","2024-04-30 19:55:11","2024-05-02 17:08:48"
"37312","4","simple","1333-2536","0","0","2024-04-30 19:55:13","2024-05-02 17:08:49"
"37313","4","configurable","1334","0","0","2024-04-30 19:55:14","2024-05-02 20:48:27"
"37314","4","simple","1336-2546","0","0","2024-04-30 19:55:16","2024-05-02 17:08:52"
"37315","4","simple","1336-2547","0","0","2024-04-30 19:55:17","2024-05-02 17:08:54"
"37316","4","simple","1336-2545","0","0","2024-04-30 19:55:19","2024-05-02 17:08:55"
"37317","4","simple","1337-2549","0","0","2024-04-30 19:55:20","2024-05-02 17:08:57"
"37318","4","simple","1337-2550","0","0","2024-04-30 19:55:22","2024-05-02 17:08:58"
"37319","4","simple","1338-2552","0","0","2024-04-30 19:55:23","2024-05-02 17:09:00"
"37320","4","simple","1338-2553","0","0","2024-04-30 19:55:24","2024-05-02 17:09:01"
